codigo_parlamentar,nome_parlamentar,nome_completo,sexo,sigla_partido,uf,forma_tratamento,url_foto,url_pagina,email
751,Arolde de Oliveira,Arolde de Oliveira,Masculino,PSD,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador751.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/751,sen.aroldedeoliveira@senado.leg.br
6009,Astronauta Marcos Pontes,Marcos Cesar Pontes,Masculino,PL,SP,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009,sen.astronautamarcospontes@senado.leg.br
5633,Atilio Francisco,Atilio Francisco da Silva,Masculino,REPUBLICANOS,,Senador,,,
6350,Augusta Brito,Augusta Brito de Paula,Feminino,PT,CE,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6350.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6350,sen.augustabrito@senado.leg.br
5631,Ayres Marchetti,Genésio Ayres Marchetti,Masculino,PSD,,Senador,,,
5554,Bebeto,Adalberto Souza Galvão,Masculino,PSB,,Senador,,,
4979,Bene Camacho,Bene André Camacho Araújo,Masculino,PSD,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4979.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4979,sen.benecamacho@senado.leg.br
5896,Benjamin Beze Junior,Benjamin Beze Junior,Masculino,,,Senador,,,
5952,Bento,Bento Adeodato Porto,Masculino,,,Senador,,,
4639,Beto Faro,José Roberto Oliveira Faro,Masculino,PT,PA,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639,sen.betofaro@senado.leg.br
6011,Beto Martins,Jose Roberto Martins,Masculino,PL,SC,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6011.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6011,sen.betomartins@senado.leg.br
5932,Beto Possamai,Gilberto Eglair Possamai,Masculino,,,Senador,,,
5559,Bispo José,José Afonso Teixeira,Masculino,PL,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5559.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5559,
6347,Breno,Breno Barbosa Chaves Pinto,Masculino,UNIÃO,,Senador,,,
6372,Bruno Bonetti,Bruno Bierrenbach Bonetti,Masculino,,,Senador,,,
6336,Camilo Santana,Camilo Sobreira de Santana,Masculino,PT,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336,sen.camilosantana@senado.leg.br
6013,Carlos Alberto,Carlos Alberto de Castro Almeida,Masculino,,,Senador,,,
5603,Carlos Augusto Costa,Carlos Augusto Lopes da Costa,Masculino,PV,,Senador,,,
6295,Carlos Fávaro,Carlos Henrique Baqueta Fávaro,Masculino,PSD,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6295,sen.carlosfavaro@senado.leg.br
6020,Carlos Milton Morais,Carlos Milton Morais,Masculino,,,Senador,,,
5936,Carlos Portinho,Carlos Francisco Portinho,Masculino,PL,RJ,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936,sen.carlosportinho@senado.leg.br
5990,Carlos Viana,Carlos Alberto Dias Viana,Masculino,PODEMOS,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990,sen.carlosviana@senado.leg.br
5991,Castellar Neto,Castellar Modesto Guimarães Neto,Masculino,PP,MG,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5991.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5991,sen.castellarneto@senado.leg.br
5593,Celso Dal Lago Rodrigues,Celso Dal Lago Rodrigues,Masculino,MDB,,Senador,,,
6000,Chamon,João Chamon Neto,Masculino,,,Senador,,,
6334,Cheila Moreira,Cheila Vieira Moreira,Feminino,PT,,Senadora,,,
470,Chico Rodrigues,Francisco de Assis Rodrigues,Masculino,PSB,RR,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/470,sen.chicorodrigues@senado.leg.br
611,Chiquinho Feitosa,Francisco Feitosa de Albuquerque Lima,Masculino,DEM,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador611.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/611,sen.chiquinhofeitosa@senado.leg.br
5623,Christopher Goulart,Christopher Belchior Goulart,Masculino,PDT,,Senador,,,
5973,Cid Gomes,Cid Ferreira Gomes,Masculino,PSB,CE,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973,sen.cidgomes@senado.leg.br
739,Ciro Nogueira,Ciro Nogueira Lima Filho,Masculino,PP,PI,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739,sen.cironogueira@senado.leg.br
6337,Cleitinho,Cleiton Gontijo de Azevedo,Masculino,REPUBLICANOS,MG,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6337.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6337,sen.cleitinho@senado.leg.br
6017,Cleonice Back,Cleonice Fabiane Back,Feminino,,,Senadora,,,
5933,Clerie Fabiana,Clérie Fabiana Mendes,Masculino,,,Senador,,,
475,Confúcio Moura,Confúcio Aires Moura,Masculino,MDB,RO,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/475,sen.confuciomoura@senado.leg.br
6380,Coronel Andreuzza,Mario Giussepp Santezzi Bertottelli Andreuzza,Masculino,,,Senador,,,
6344,Coronel Casagrande,Michel Negreiros Casagrande,Masculino,UNIÃO,,Senador,,,
5963,Coronel Margarida,Margarida Brandão Fernandes de Araújo,Masculino,,,Senador,,,
5960,Cândida Farias,Cândida dos Santos Farias,Masculino,,,Senador,,,
6335,Damares Alves,Damares Regina Alves,Feminino,REPUBLICANOS,DF,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6335.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6335,sen.damaresalves@senado.leg.br
5998,Daniella Ribeiro,Daniella Velloso Borges Ribeiro,Feminino,PSD,PB,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998,sen.daniellaribeiro@senado.leg.br
5992,Danilo Martins de Oliveira,Danilo Martins de Oliveira,Masculino,,,Senador,,,
5987,Danny Fabricio,Danny Fabricio Cabral Gomes,Masculino,,,Senador,,,
3830,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,Masculino,UNIÃO,AP,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830,sen.davialcolumbre@senado.leg.br
5837,Davidson Magalhães,Davidson de Magalhães Santos,Masculino,PCdoB,,Senador,,,
6012,Denise dos Santos,Denise Antunes dos Santos,Feminino,,,Senadora,,,
6377,Dheep Rover,Jair Rover,Masculino,,,Senador,,,
5996,Diego Tavares,Marcio Diego Fernandes Tavares de Albuquerque,Masculino,PP,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5996.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5996,sen.diegotavares@senado.leg.br
5637,Donizeti Nogueira,Divino Donizeti Borges Nogueira,Masculino,PT,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5637.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5637,donizeti.nogueira@senador.leg.br
5975,Dr. Guimarães,Francisco José Alves Guimaraes,Masculino,,,Senador,,,
5565,Dr. Helder Cavalcante,Francisco Helder Cavalcante Sousa,Masculino,PL,,Senador,,,
5793,Dr. Hiran,Hiran Manuel Gonçalves da Silva,Masculino,PP,RR,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5793.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5793,sen.drhiran@senado.leg.br
6021,Dr. Samuel Araújo,Samuel Pereira de Araujo,Masculino,PSD,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6021.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6021,sen.drsamuelaraujo@senado.leg.br
5906,Dra. Eudócia,Eudocia Maria Holanda de Araujo Caldas,Feminino,PSB,,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5906.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5906,sen.draeudocia@senado.leg.br
6016,Drica de Lucena,Adriana de Lucena Francisco,Feminino,,,Senadora,,,
5537,Dário Berger,Dário Elias Berger,Masculino,PSB,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5537,sen.darioberger@senado.leg.br
4994,Eduardo Braga,Carlos Eduardo de Souza Braga,Masculino,MDB,AM,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994,sen.eduardobraga@senado.leg.br
5976,Eduardo Girão,Luis Eduardo Grangeiro Girão,Masculino,NOVO,CE,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976,sen.eduardogirao@senado.leg.br
3777,Eduardo Gomes,Carlos Eduardo Torres Gomes,Masculino,PL,TO,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777,sen.eduardogomes@senado.leg.br
5902,Eduardo Velloso,Eduardo Ovídio Borges de Velloso Vianna,Masculino,UNIÃO,AC,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5902.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5902,dep.eduardovelloso@camara.leg.br
4642,Efraim Filho,Efraim de Araújo Morais Filho,Masculino,UNIÃO,PB,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4642.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4642,sen.efraimfilho@senado.leg.br
5587,Eladio Carneiro,Eladio Barbosa Carneiro,Masculino,MDB,,Senador,,,
5898,Eliane Nogueira,Eliane e Silva Nogueira Lima,Feminino,PP,,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5898.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5898,sen.elianenogueira@senado.leg.br
5605,Eliane Rodrigues,Eliane Rodrigues de Andrade Ferreira,Feminino,PSB,,Senadora,,,
5718,Eliziane Gama,Eliziane Pereira Gama Melo,Feminino,PSD,MA,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718,sen.elizianegama@senado.leg.br
5531,Elmano Férrer,Elmano Férrer de Almeida,Masculino,PP,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5531,sen.elmanoferrer@senado.leg.br
6025,Enfermeira Roberta,Roberta Leontina Xisto Acioly,Feminino,,,Senadora,,,
6367,Erik Marinho,Erik Janson Vieira Monteiro Marinho,Masculino,,,Senador,,,
22,Esperidião Amin,Esperidião Amin Helou Filho,Masculino,PP,SC,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/22,sen.esperidiaoamin@senado.leg.br
5953,Fabiano Contarato,Fabiano Contarato,Masculino,PT,ES,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953,sen.fabianocontarato@senado.leg.br
5740,Fabio Garcia,Fabio Paulino Garcia,Masculino,UNIÃO,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5740.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5740,sen.fabiogarcia@senado.leg.br
5581,Fadi Faraj,Fadi Fayez Faraj,Masculino,SOLIDARIEDADE,,Senador,,,
5540,Fernando Bezerra Coelho,Fernando Bezerra de Souza Coelho,Masculino,MDB,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540,sen.fernandobezerracoelho@senado.leg.br
5980,Fernando Carvalho,Fernando Luiz Prado Carvalho Junior,Masculino,,,Senador,,,
6384,Fernando Carvalho,Antonio Fernando Pereira de Carvalho,Masculino,,,Senador,,,
4525,Fernando Collor,Fernando Affonso Collor de Mello,Masculino,PTB,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525,sen.fernandocollor@senado.leg.br
5917,Fernando Dueire,Fernando Antonio Caminha Dueire,Masculino,MDB,PE,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5917.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5917,sen.fernandodueire@senado.leg.br
6345,Fernando Farias,Fernando Lopes de Farias,Masculino,MDB,AL,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6345,sen.fernandofarias@senado.leg.br
5577,Fernando Façanha,Fernando Antonio Mendes Façanha Filho,Masculino,PSDB,,Senador,,,
6374,Flavio Azevedo,Flávio José Cavalcanti de Azevedo,Masculino,PL,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6374.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6374,sen.flavioazevedo@senado.leg.br
5920,Flavio Vicente,Flavio Marcelo Gonçalves Vicente,Masculino,,,Senador,,,
345,Flávio Arns,Flávio José Arns,Masculino,PSB,PR,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/345,sen.flavioarns@senado.leg.br
5894,Flávio Bolsonaro,Flávio Nantes Bolsonaro,Masculino,PL,RJ,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894,sen.flaviobolsonaro@senado.leg.br
4605,Flávio Dino,Flávio Dino de Castro e Costa,Masculino,PSB,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4605.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4605,sen.flaviodino@senado.leg.br
6368,Francisco Alexandre,Francisco Ferreira Alexandre,Masculino,,,Senador,,,
3713,Fátima Bezerra,Maria de Fátima Bezerra,Feminino,PT,,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3713.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3713,fatima.bezerra@senadora.leg.br
6343,Gemil Junior,Gemil Salim de Abreu Junior,Masculino,UNIÃO,,Senador,,,
196,Geraldo Althoff,Geraldo César Althoff,Masculino,,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador196.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/196,althoff@senado.leg.br
5900,Gil Paraibano,Gil Marques de Medeiros,Masculino,,,Senador,,,
5615,Gilberto Piselo,Gilberto Piselo do Nascimento,Masculino,PDT,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5615.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5615,
6008,Giordano,Alexandre Luiz Giordano,Masculino,MDB,SP,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008,sen.giordano@senado.leg.br
4558,Gladson Cameli,Gladson de Lima Cameli,Masculino,PP,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4558.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4558,gladson.cameli@senador.leg.br
5639,Guaracy Silveira,Guaracy Batista da Silveira,Masculino,PP,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5639.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5639,sen.guaracysilveira@senado.leg.br
6341,Hamilton Mourão,Antonio Hamilton Martins Mourão,Masculino,REPUBLICANOS,RS,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6341.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6341,sen.hamiltonmourao@senado.leg.br
5999,Helenilson Pontes,Helenilson Cunha Pontes,Masculino,,,Senador,,,
5907,Henrique Arruda,Henrique Arruda Guimarães,Masculino,,,Senador,,,
6381,Hermes Klann,Hermes Artur Klann,Masculino,,,Senador,,,
6349,Hildinha Menezes,Hilda Maria Monteiro de Menezes Oliveira,Feminino,PSD,,Senadora,,,
5008,Humberto Costa,Humberto Sérgio Costa Lima,Masculino,PT,PE,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008,sen.humbertocosta@senado.leg.br
6357,Hélio Araújo,Hélio Araújo Pereira,Masculino,PL,,Senador,,,
6375,Igor Targino,Igor Augusto Fernandes Targino,Masculino,,,Senador,,,
5385,Irajá,Irajá Silvestre Filho,Masculino,PSD,TO,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385,sen.iraja@senado.leg.br
6015,Ireneu Orth,Ireneu Orth,Masculino,PP,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6015.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6015,sen.ireneuorth@senado.leg.br
6007,Ivani Boscolo,Ivani Perrone Boscolo,Feminino,,,Senadora,,,
6010,Ivete da Silveira,Ivete Marli Appel da Silveira,Feminino,MDB,,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6010.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6010,sen.ivetedasilveira@senado.leg.br
5978,Ivonete Nascimento,Maria Ivonete Gomes do Nascimento,Feminino,,,Senadora,,,
4770,Izalci Lucas,Izalci Lucas Ferreira,Masculino,PL,DF,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770,sen.izalcilucas@senado.leg.br
6356,Izaura Cardoso,Izaura Cristina Cantanhede Peres Cardoso,Feminino,PL,,Senadora,,,
5931,Jacira Souza,Jacira Maria Alves de Souza,Feminino,,,Senadora,,,
35,Jader Barbalho,Jader Fontenelle Barbalho,Masculino,MDB,PA,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35,sen.jaderbarbalho@senado.leg.br
5912,Jader Melo,Jader Paiva de Melo,Masculino,,,Senador,,,
6340,Jaime Bagattoli,Jaime Maximino Bagattoli,Masculino,PL,RO,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6340.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6340,sen.jaimebagattoli@senado.leg.br
6351,Janaína Farias,Janaina Carla Farias,Feminino,PT,,Senadora,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6351.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6351,sen.janainafarias@senado.leg.br
6383,Janier,Janier Mota Santos Primo,Feminino,,,Senadora,,,
581,Jaques Wagner,Jaques Wagner,Masculino,PT,BA,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/581,sen.jaqueswagner@senado.leg.br
4545,Jarbas Vasconcelos,Jarbas de Andrade Vasconcelos,Masculino,MDB,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4545.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4545,sen.jarbasvasconcelos@senado.leg.br
4531,Jayme Campos,Jayme Veríssimo de Campos,Masculino,UNIÃO,MT,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531,sen.jaymecampos@senado.leg.br
5627,Jean-Paul Prates,Jean Paul Terra Prates,Masculino,PT,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5627.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5627,sen.jeanpaulprates@senado.leg.br
5609,Joel Malucelli,Joel Malucelli,Masculino,PSD,,Senador,,,
5895,Jorge Kajuru,Jorge Kajuru Reis da Costa Nasser,Masculino,PSB,GO,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895,sen.jorgekajuru@senado.leg.br
5993,Jorge Mitidieri,Jorge Mitidieri,Masculino,,,Senador,,,
6342,Jorge Seif,Jorge Seif Júnior,Masculino,PL,SC,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6342.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6342,sen.jorgeseif@senado.leg.br
4885,Jorge Yanai,Jorge Yoshiaki Yanai,Masculino,DEM,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4885.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4885,yanai@senador.leg.br
5350,Jorginho Mello,Jorginho dos Santos Mello,Masculino,PL,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5350.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5350,sen.jorginhomello@senado.leg.br
6364,Josenir,Josenir Gonçalves Nascimento,Masculino,,,Senador,,,
5569,Josiel,Jose Samuel Alcolumbre Tobelem,Masculino,UNIÃO,,Senador,,,
5849,José Amauri,Jose Amauri P. de Araújo,Masculino,PODEMOS,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5849.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5849,sen.joseamauri@senado.leg.br
878,José Aníbal,José Aníbal Peres de Pontes,Masculino,PSDB,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador878.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/878,sen.joseanibal@senado.leg.br
5579,José Carlos Vasconcellos,José Carlos de Moraes Vasconcellos Filho,Masculino,PDT,,Senador,,,
5983,José Chagas,José Chagas dos Santos,Masculino,,,Senador,,,
6305,José Esteves de Lacerda Filho,José Esteves de Lacerda Filho,Masculino,,,Senador,,,
5910,José Hamilton,José Hamilton Furtado Castelo Branco,Masculino,,,Senador,,,
3361,José Maranhão,José Targino Maranhão,Masculino,MDB,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3361.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3361,sen.josemaranhao@senado.leg.br
90,José Serra,José Serra,Masculino,PSDB,,Senador,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador90.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/90,sen.joseserra@senado.leg.br
5613,João Batista Lemos,João Batista da Rocha Lemos,Masculino,PCB,,Senador,,,
